,Время на 1 ПУ,Время на партию,Стоимость 1 ПУ,Стоимость на партию
Автоматический поверхностный монтаж SMT,9 c,3 ч,35 руб,45969 руб
"Автоматический поверхностный монтаж SMT, переналадка",6 c,2 ч,13 руб,17398 руб
Селективная пайка THT,19 c,7 ч,26 руб,33810 руб
"Селективная пайка THT, переналадка",3 c,1 ч,2 руб,1979 руб
Волновая пайка,1 c,1 ч,4 руб,5290 руб
"Волновая пайка, переналадка",1 c,1 ч,3 руб,3559 руб
Отмывка,24 c,9 ч,9 руб,11581 руб
Ручная лакировка,45 c,17 ч,17 руб,22372 руб
Разделение,13 c,5 ч,6 руб,7540 руб
